STATENAME,ST_CASE,COUNTYNAME,MONTHNAME,DAY_WEEKNAME,LGT_CONDNAME,HOUR,HOURNAME,ROUTENAME,WEATHERNAME,FATALS
florida,123536,miami-dade,December,Thursday,Daylight,11,11:00am-11:59am,State Highway,Clear,2
florida,123537,alachua,December,Wednesday,Daylight,11,11:00am-11:59am,U.S. Highway,Cloudy,1
florida,123539,brevard,August,Thursday,Dark - Lighted,1,1:00am-1:59am,U.S. Highway,Clear,1
florida,123540,palm beach,August,Sunday,Daylight,13,1:00pm-1:59pm,U.S. Highway,Clear,1
florida,123541,osceola,November,Monday,Dark - Not Lighted,1,1:00am-1:59am,County Road,Clear,1
florida,123542,palm beach,August,Wednesday,Daylight,12,12:00pm-12:59pm,State Highway,Clear,1
florida,123543,miami-dade,November,Monday,Dark - Not Lighted,18,6:00pm-6:59pm,Local Street - Municipality,Clear,1
florida,123544,brevard,November,Wednesday,Dark - Not Lighted,23,11:00pm-11:59pm,Local Street - Municipality,Cloudy,1
florida,123545,st lucie,November,Saturday,Daylight,16,4:00pm-4:59pm,Unknown,Clear,1
florida,123548,miami-dade,October,Sunday,Dark - Lighted,19,7:00pm-7:59pm,State Highway,Clear,1
florida,123549,volusia,June,Friday,Daylight,14,2:00pm-2:59pm,Local Street - Municipality,Rain,2
florida,123550,clay,December,Saturday,Dark - Not Lighted,23,11:00pm-11:59pm,State Highway,Clear,1
florida,123551,palm beach,February,Wednesday,Dark - Lighted,1,1:00am-1:59am,Local Street - Municipality,Cloudy,1
florida,123552,duval,March,Monday,Dark - Not Lighted,22,10:00pm-10:59pm,Local Street - Municipality,Clear,1
florida,123553,palm beach,June,Tuesday,Dark - Not Lighted,1,1:00am-1:59am,Local Street - Municipality,Cloudy,1
florida,123554,okaloosa,September,Friday,Dark - Not Lighted,5,5:00am-5:59am,State Highway,Cloudy,1
florida,123555,pasco,December,Saturday,Dark - Not Lighted,22,10:00pm-10:59pm,U.S. Highway,Clear,1
florida,123556,polk,June,Wednesday,Daylight,16,4:00pm-4:59pm,Unknown,Cloudy,1
florida,123557,polk,March,Thursday,Daylight,17,5:00pm-5:59pm,State Highway,Clear,1
florida,123558,broward,May,Monday,Daylight,18,6:00pm-6:59pm,State Highway,Clear,1
florida,123559,polk,August,Tuesday,Daylight,14,2:00pm-2:59pm,U.S. Highway,Cloudy,1
florida,123560,osceola,March,Wednesday,Daylight,15,3:00pm-3:59pm,U.S. Highway,Clear,1
florida,123561,miami-dade,March,Monday,Dark - Lighted,6,6:00am-6:59am,Unknown,Clear,1
florida,123562,polk,March,Wednesday,Daylight,15,3:00pm-3:59pm,State Highway,Clear,1
florida,123563,hillsborough,December,Sunday,Daylight,12,12:00pm-12:59pm,Local Street - Municipality,Clear,1
florida,123564,lee,September,Wednesday,Daylight,7,7:00am-7:59am,Local Street - Municipality,Clear,1
florida,123565,orange,December,Tuesday,Dark - Lighted,20,8:00pm-8:59pm,State Highway,Rain,1
florida,123566,alachua,October,Wednesday,Dark - Lighted,19,7:00pm-7:59pm,State Highway,Cloudy,1
florida,123567,volusia,October,Friday,Daylight,17,5:00pm-5:59pm,State Highway,Cloudy,1
florida,123568,polk,November,Thursday,Dark - Not Lighted,1,1:00am-1:59am,Unknown,Cloudy,1
florida,123569,osceola,September,Saturday,Dark - Lighted,20,8:00pm-8:59pm,Interstate,Rain,1
florida,123570,polk,December,Monday,Dark - Not Lighted,5,5:00am-5:59am,Unknown,Clear,1
florida,123571,sumter,December,Wednesday,Daylight,15,3:00pm-3:59pm,County Road,Clear,1
florida,123573,alachua,May,Saturday,Dark - Lighted,2,2:00am-2:59am,State Highway,Clear,1
florida,123574,citrus,December,Thursday,Dark - Not Lighted,18,6:00pm-6:59pm,Unknown,Clear,1
florida,123576,martin,December,Thursday,Dark - Not Lighted,2,2:00am-2:59am,U.S. Highway,Haze,1
florida,123577,pinellas,December,Monday,Dark - Lighted,21,9:00pm-9:59pm,Local Street - Municipality,Clear,1
florida,123578,pinellas,December,Saturday,Dark - Lighted,1,1:00am-1:59am,State Highway,Haze,2
florida,123579,alachua,December,Sunday,Dark - Lighted,2,2:00am-2:59am,U.S. Highway,Clear,1
florida,123580,pasco,November,Friday,Dusk,19,7:00pm-7:59pm,State Highway,Clear,1
florida,123581,miami-dade,September,Tuesday,Dark - Lighted,0,0:00am-0:59am,U.S. Highway,Clear,1
florida,123582,polk,November,Sunday,Dark - Lighted,18,6:00pm-6:59pm,Unknown,Clear,1
florida,123583,hillsborough,December,Friday,Daylight,12,12:00pm-12:59pm,State Highway,Clear,1
florida,123584,polk,October,Friday,Dawn,6,6:00am-6:59am,Unknown,Clear,1
florida,123585,osceola,November,Friday,Dark - Not Lighted,21,9:00pm-9:59pm,State Highway,Cloudy,1
florida,123586,broward,March,Sunday,Dark - Lighted,19,7:00pm-7:59pm,State Highway,Clear,1
florida,123587,st lucie,December,Wednesday,Daylight,12,12:00pm-12:59pm,County Road,Clear,1
florida,123588,volusia,October,Saturday,Dark - Lighted,19,7:00pm-7:59pm,U.S. Highway,Clear,1
florida,123589,miami-dade,November,Sunday,Dark - Lighted,21,9:00pm-9:59pm,State Highway,Clear,1
florida,123590,volusia,December,Saturday,Dark - Not Lighted,19,7:00pm-7:59pm,Local Street - Municipality,Clear,1
florida,123591,miami-dade,December,Friday,Dark - Lighted,19,7:00pm-7:59pm,Local Street - Municipality,Clear,1
florida,123592,bay,December,Monday,Dark - Lighted,18,6:00pm-6:59pm,State Highway,Rain,1
florida,123593,osceola,October,Friday,Dark - Lighted,3,3:00am-3:59am,Unknown,Clear,1
florida,123595,marion,November,Sunday,Daylight,13,1:00pm-1:59pm,U.S. Highway,Cloudy,1
florida,123596,polk,September,Tuesday,Dark - Not Lighted,22,10:00pm-10:59pm,State Highway,Clear,1
florida,123597,polk,June,Monday,Daylight,11,11:00am-11:59am,U.S. Highway,Clear,1
florida,123599,palm beach,September,Monday,Dark - Lighted,21,9:00pm-9:59pm,State Highway,Clear,1
florida,123600,palm beach,November,Wednesday,Daylight,17,5:00pm-5:59pm,State Highway,Clear,1
florida,123602,miami-dade,August,Saturday,Dark - Lighted,21,9:00pm-9:59pm,State Highway,Clear,1
florida,123603,st lucie,December,Friday,Dark - Lighted,22,10:00pm-10:59pm,Local Street - Municipality,Clear,1
florida,123604,palm beach,March,Tuesday,Daylight,14,2:00pm-2:59pm,State Highway,Clear,1
